cruise,cast,niskin,mean_nitr,mean_ammon,mean_phos,mean_sil,sd_nitr,sd_phos,sd_ammon,sd_sil,date,latitude,longitude,depth_grp,depth
EN608,22,19,4.876516819000001,0.902125706,0.5543228205,2.088234452,0.13009431594707213,0.005066958195462091,0.1898745445132131,0.008958893010996075,2018-02-04T03:44:44Z,40.07988,-70.84775,"(4.5,6]",5.18
EN608,30,1,0,1.027215715,0.308127736,0,0,0.005790809972333917,0.020176422259817205,0,2018-02-05T00:07:32Z,41.3224,-70.5752,"(12,13.5]",13.388
EN608,30,5,0,1.045049321,0.3224592585,0,0,0.008686214958500893,0.17510252099722837,0,2018-02-05T00:09:33Z,41.32224,-70.574700000000007,"(9,10.5]",10.248
EN608,30,9,0,0.94925738,0.319900058,0,0,7.238510697650247e-4,0.036749912023746244,0,2018-02-05T00:11:54Z,41.32222,-70.57423,"(3,4.5]",4.014
EN617,1,1,0.182618844,0,0.31815552,4.406101872000001,0.02526476548566279,0.0018334953567047693,0,0.008057230041606692,2018-07-20T17:30:51Z,41.20191,-70.88546,"(16.5,18]",17.739
EN617,1,5,0.03275229261707476,0,0.23699604347411576,3.866410071090047,0.04631873641787932,0.005133788035818403,0,0.025636642278379515,2018-07-20T17:33:46Z,41.20244,-70.88544,"(10.5,12]",12.177
EN617,1,8,0,0,0.200435385,3.2140666710000003,0,0.004033690633278661,0,0.02453792901106748,2018-07-20T17:36:20Z,41.20284,-70.88546,"(6,7.5]",7.261
EN617,1,12,0,0,0.21469663449999998,2.176636078,0,0.0029335929949917154,0,0.003296140076734956,2018-07-20T17:38:51Z,41.20326,-70.88546,"(0,1.5]",1.796
EN617,2,1,2.019724711,1.0278756709999999,0.784628039,11.60389166,0.07860149199352272,0.012467770405491506,0.02535411125589287,0.01904436551634166,2018-07-20T23:01:46Z,41.03118,-70.88,"(40.5,42]",42.067
EN617,2,3,1.035419069,0.4290285325,0.54452045,7.3464381045,0.005965291399018754,0.033736321917278496,0.00739494888059984,0.017579412092670055,2018-07-20T23:04:29Z,41.03152,-70.8796,"(22.5,24]",24.137
EN617,2,11,0.851063361,0.328681174,0.551780723,7.6468423695,7.017992376869687e-4,0.014667965682065357,0.008451369947226423,0.0014649505952436194,2018-07-20T23:07:16Z,41.03182,-70.87922,"(19.5,21]",20.104
EN617,2,12,0,0,0.1436496805,2.5661257465,0,0.003666991420516359,0,0.026002879606311414,2018-07-20T23:09:22Z,41.03199,-70.87896,"(7.5,9]",9.997
EN617,2,16,0,0,0.16024458949999998,2.5503286254999997,0,0.006600585122614856,0,0.016114460790319907,2018-07-20T23:12:37Z,41.03232,-70.87858,"(1.5,3]",3.22
